"1","P040101001",4,401,40101,198,149,"惣菜","御飯類","弁当類"
"2","P040101002",4,401,40101,218,164,"惣菜","御飯類","弁当類"
"3","P040101003",4,401,40101,230,173,"惣菜","御飯類","弁当類"
"4","P040101004",4,401,40101,248,186,"惣菜","御飯類","弁当類"
"5","P040101005",4,401,40101,268,201,"惣菜","御飯類","弁当類"
"6","P040101006",4,401,40101,298,224,"惣菜","御飯類","弁当類"
"7","P040101007",4,401,40101,338,254,"惣菜","御飯類","弁当類"
"8","P040101008",4,401,40101,420,315,"惣菜","御飯類","弁当類"
"9","P040101009",4,401,40101,498,374,"惣菜","御飯類","弁当類"
"10","P040101010",4,401,40101,580,435,"惣菜","御飯類","弁当類"
"11","P040102001",4,401,40102,268,201,"惣菜","御飯類","寿司類"
"12","P040102002",4,401,40102,268,201,"惣菜","御飯類","寿司類"
"13","P040102003",4,401,40102,278,209,"惣菜","御飯類","寿司類"
"14","P040102004",4,401,40102,318,239,"惣菜","御飯類","寿司類"
"15","P040102005",4,401,40102,318,239,"惣菜","御飯類","寿司類"
"16","P040102006",4,401,40102,318,239,"惣菜","御飯類","寿司類"
"17","P040102007",4,401,40102,338,254,"惣菜","御飯類","寿司類"
"18","P040102008",4,401,40102,358,269,"惣菜","御飯類","寿司類"
"19","P040102009",4,401,40102,358,269,"惣菜","御飯類","寿司類"
"20","P040102010",4,401,40102,358,269,"惣菜","御飯類","寿司類"
"21","P040102011",4,401,40102,358,269,"惣菜","御飯類","寿司類"
"22","P040102012",4,401,40102,358,269,"惣菜","御飯類","寿司類"
"23","P040102013",4,401,40102,398,299,"惣菜","御飯類","寿司類"
"24","P040102014",4,401,40102,398,299,"惣菜","御飯類","寿司類"
"25","P040102015",4,401,40102,398,299,"惣菜","御飯類","寿司類"
"26","P040102016",4,401,40102,398,299,"惣菜","御飯類","寿司類"
"27","P040102017",4,401,40102,438,329,"惣菜","御飯類","寿司類"
"28","P040102018",4,401,40102,498,374,"惣菜","御飯類","寿司類"
"29","P040102019",4,401,40102,598,449,"惣菜","御飯類","寿司類"
"30","P040102020",4,401,40102,980,735,"惣菜","御飯類","寿司類"
"31","P040102021",4,401,40102,1780,1335,"惣菜","御飯類","寿司類"
"32","P040102022",4,401,40102,3000,2250,"惣菜","御飯類","寿司類"
"33","P040102023",4,401,40102,5000,3750,"惣菜","御飯類","寿司類"
"34","P040102024",4,401,40102,5000,3750,"惣菜","御飯類","寿司類"
"35","P040201001",4,402,40201,148,111,"惣菜","佃煮類","魚介佃煮類"
"36","P040201002",4,402,40201,178,134,"惣菜","佃煮類","魚介佃煮類"
"37","P040201003",4,402,40201,198,149,"惣菜","佃煮類","魚介佃煮類"
"38","P040201004",4,402,40201,248,186,"惣菜","佃煮類","魚介佃煮類"
"39","P040201005",4,402,40201,258,194,"惣菜","佃煮類","魚介佃煮類"
"40","P040201006",4,402,40201,298,224,"惣菜","佃煮類","魚介佃煮類"
"41","P040202001",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"42","P040202002",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"43","P040202003",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"44","P040202004",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"45","P040202005",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"46","P040202006",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"47","P040202007",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"48","P040202008",4,402,40202,178,134,"惣菜","佃煮類","海草佃煮類"
"49","P040202009",4,402,40202,198,149,"惣菜","佃煮類","海草佃煮類"
"50","P040202010",4,402,40202,198,149,"惣菜","佃煮類","海草佃煮類"
"51","P040202011",4,402,40202,198,149,"惣菜","佃煮類","海草佃煮類"
"52","P040202012",4,402,40202,298,224,"惣菜","佃煮類","海草佃煮類"
"53","P040203001",4,402,40203,188,141,"惣菜","佃煮類","野菜佃煮類"
"54","P040203002",4,402,40203,428,321,"惣菜","佃煮類","野菜佃煮類"
"55","P040204001",4,402,40204,158,119,"惣菜","佃煮類","豆佃煮類"
"56","P040204002",4,402,40204,188,141,"惣菜","佃煮類","豆佃煮類"
"57","P040204003",4,402,40204,188,141,"惣菜","佃煮類","豆佃煮類"
"58","P040204004",4,402,40204,188,141,"惣菜","佃煮類","豆佃煮類"
"59","P040204005",4,402,40204,198,149,"惣菜","佃煮類","豆佃煮類"
"60","P040204006",4,402,40204,198,149,"惣菜","佃煮類","豆佃煮類"
"61","P040204007",4,402,40204,198,149,"惣菜","佃煮類","豆佃煮類"
"62","P040204008",4,402,40204,198,149,"惣菜","佃煮類","豆佃煮類"
"63","P040204009",4,402,40204,398,299,"惣菜","佃煮類","豆佃煮類"
"64","P040301001",4,403,40301,248,186,"惣菜","サラダ類","サラダ類"
"65","P040301002",4,403,40301,248,186,"惣菜","サラダ類","サラダ類"
"66","P040301003",4,403,40301,278,209,"惣菜","サラダ類","サラダ類"
"67","P040301004",4,403,40301,298,224,"惣菜","サラダ類","サラダ類"
"68","P040301005",4,403,40301,298,224,"惣菜","サラダ類","サラダ類"
"69","P040401001",4,404,40401,118,89,"惣菜","和風惣菜","炒め・煮物類"
"70","P040401002",4,404,40401,138,104,"惣菜","和風惣菜","炒め・煮物類"
"71","P040401003",4,404,40401,198,149,"惣菜","和風惣菜","炒め・煮物類"
"72","P040401004",4,404,40401,228,171,"惣菜","和風惣菜","炒め・煮物類"
"73","P040401005",4,404,40401,228,171,"惣菜","和風惣菜","炒め・煮物類"
"74","P040401006",4,404,40401,248,186,"惣菜","和風惣菜","炒め・煮物類"
"75","P040401007",4,404,40401,258,194,"惣菜","和風惣菜","炒め・煮物類"
"76","P040401008",4,404,40401,278,209,"惣菜","和風惣菜","炒め・煮物類"
"77","P040401009",4,404,40401,278,209,"惣菜","和風惣菜","炒め・煮物類"
"78","P040401010",4,404,40401,298,224,"惣菜","和風惣菜","炒め・煮物類"
"79","P040401011",4,404,40401,298,224,"惣菜","和風惣菜","炒め・煮物類"
"80","P040401012",4,404,40401,338,254,"惣菜","和風惣菜","炒め・煮物類"
"81","P040401013",4,404,40401,358,269,"惣菜","和風惣菜","炒め・煮物類"
"82","P040401014",4,404,40401,398,299,"惣菜","和風惣菜","炒め・煮物類"
"83","P040401015",4,404,40401,398,299,"惣菜","和風惣菜","炒め・煮物類"
"84","P040401016",4,404,40401,398,299,"惣菜","和風惣菜","炒め・煮物類"
"85","P040401017",4,404,40401,398,299,"惣菜","和風惣菜","炒め・煮物類"
"86","P040401018",4,404,40401,398,299,"惣菜","和風惣菜","炒め・煮物類"
"87","P040402001",4,404,40402,228,171,"惣菜","和風惣菜","和え物"
"88","P040403001",4,404,40403,198,149,"惣菜","和風惣菜","酢の物"
"89","P040403002",4,404,40403,248,186,"惣菜","和風惣菜","酢の物"
"90","P040403003",4,404,40403,248,186,"惣菜","和風惣菜","酢の物"
"91","P040403004",4,404,40403,248,186,"惣菜","和風惣菜","酢の物"
"92","P040403005",4,404,40403,248,186,"惣菜","和風惣菜","酢の物"
"93","P040403006",4,404,40403,278,209,"惣菜","和風惣菜","酢の物"
