,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
0,2010-10-01 21:26:11.0000001,8.9,2010-10-01 21:26:11 UTC,-73.98313,40.76197,-73.99438599999998,40.749236,1
1,2013-10-06 01:38:00.00000083,30.5,2013-10-06 01:38:00 UTC,-73.94850500000003,40.753977,-73.808195,40.731952,2
2,2012-03-30 19:13:53.0000001,3.7,2012-03-30 19:13:53 UTC,-73.973964,40.791979,-73.97901800000002,40.785544,1
3,2012-02-08 02:57:23.0000001,28.1,2012-02-08 02:57:23 UTC,-73.991478,40.738907,-73.907198,40.861572,2
4,2013-12-13 22:56:00.000000237,34.5,2013-12-13 22:56:00 UTC,-73.986281,40.740067,-73.933927,40.856781,2
5,2010-04-13 15:57:29.0000003,10.1,2010-04-13 15:57:29 UTC,-73.976945,40.751886,-73.95424100000002,40.783843,1
6,2010-08-20 23:06:00.000000207,4.5,2010-08-20 23:06:00 UTC,0.0,0.0,0.0,0.0,5
7,2009-08-06 11:29:00.00000019,3.7,2009-08-06 11:29:00 UTC,-73.973077,40.755705,-73.969612,40.750283,1
8,2013-10-30 23:50:55.0000002,8.5,2013-10-30 23:50:55 UTC,-74.00372800000002,40.713995,-73.986655,40.702963,1
9,2012-02-15 12:01:00.000000151,10.1,2012-02-15 12:01:00 UTC,-73.973215,40.753342,-73.980762,40.763357,1
10,2009-02-14 18:57:00.00000027,10.1,2009-02-14 18:57:00 UTC,-73.95054,40.77966,-73.982863,40.77199,5
11,2013-07-11 10:54:00.000000131,10.0,2013-07-11 10:54:00 UTC,-73.973362,40.763762,-73.989807,40.74132,1
12,2015-05-15 09:09:53.0000001,6.5,2015-05-15 09:09:53 UTC,-73.97496032714845,40.787864685058594,-73.96018981933594,40.80748748779297,1
13,2012-02-14 21:59:51.0000001,14.9,2012-02-14 21:59:51 UTC,-73.973168,40.678586,-73.982392,40.735277,1
14,2012-07-11 13:30:00.000000181,6.1,2012-07-11 13:30:00 UTC,-73.962558,40.572298,-73.961608,40.568705,5
15,2015-05-12 13:11:02.0000005,10.0,2015-05-12 13:11:02 UTC,0.0,0.0,0.0,0.0,1
16,2014-08-10 23:33:19.0000003,11.5,2014-08-10 23:33:19 UTC,-74.0016,40.745989,-73.97800699999998,40.725371,1
17,2013-03-28 17:27:00.000000188,57.33,2013-03-28 17:27:00 UTC,-73.78165200000002,40.644802,-73.985892,40.743797,1
18,2009-05-16 19:15:07.0000003,5.3,2009-05-16 19:15:07 UTC,-73.991926,40.725741,-73.980773,40.729812,1
