Mean_IP,SD_IP,Mean_DM-SNR
140.5625,55.68378214,3.199832776
102.5078125,58.88243001,1.677257525
103.015625,39.34164944,3.121237458
136.75,57.17844874,3.642976589
88.7265625,40.67222541,1.178929766
93.5703125,46.69811352,1.636287625
119.484375,48.76505927,0.99916388
130.3828125,39.84405561,1.220735786
107.25,52.62707834,2.331939799
107.2578125,39.49648839,4.079431438
142.078125,45.28807262,5.376254181
133.2578125,44.05824378,1.632107023
134.9609375,49.55432662,10.69648829
117.9453125,45.50657724,2.836120401
138.1796875,51.5244835,6.330267559
114.3671875,51.94571552,2.738294314
109.640625,49.01765217,1.508361204
100.8515625,51.74352161,2.841137124
136.09375,51.69100464,9.342809365
99.3671875,41.57220208,2.55518395
100.890625,51.89039446,3.883779264
105.4453125,41.13996851,3.551839465
95.8671875,42.05992212,1.83277592
117.3671875,53.90861351,6.018394649
106.6484375,56.36718209,2.43645485
112.71875,50.3012701,8.281772575
130.8515625,52.43285734,2.64632107
119.4375,52.87481531,2.365384615
123.2109375,51.07801208,2.107023411
102.6171875,49.69235371,1.489130435
110.109375,41.31816988,1.010033445
99.9140625,43.91949797,0.619565217
128.34375,52.17210664,2.173913043
142.0546875,53.87315957,4.423076923
121.1328125,47.6326062,2.151337793
102.328125,48.98040255,1.898829431
147.8359375,53.62263651,2.692307692
108.0390625,34.91024257,3.899665552
107.875,37.33065932,1.173913043
118.84375,45.9319193,2.33277592
138.4609375,48.91716569,2.443143813
116.203125,47.34586165,3.606187291
120.5546875,45.54990543,1.358695652
121.8828125,53.04267461,2.116220736
125.2109375,51.17519729,1.147993311
107.90625,48.08414459,1.993311037
106.28125,43.02178545,1.610367893
106.3359375,45.05002035,1.200668896
125.734375,52.65772207,4.850334448
113.546875,49.50029346,2.407190635
134.0390625,51.80045885,1.107859532
105.1171875,45.09202762,4.283444816
95.328125,44.66789069,2.694816054
119.3359375,47.506953,0.79264214
136.1875,51.95291588,0.849498328
112.859375,55.10625168,3.032608696
108.625,52.74614915,2.304347826
113.953125,49.2214161,1.081103679
141.96875,50.47089779,2.823578595
136.5,49.9327673,1.555183946
83.6796875,36.37928102,4.0409699
27.765625,28.66604164,3.11287625
135.859375,51.93727202,2.77424749
112.09375,48.81156969,2.204013378
126.8671875,53.1293191,1.149665552
117.5390625,47.73296528,1.060200669
143.0859375,49.92197464,3.563545151
101.296875,39.43395574,4.925585284
119.8984375,53.82550508,4.04180602
123.125,50.33124651,1.280936455
102.046875,48.79050551,2.37541806
119.4453125,53.14305702,2.932274247
128.515625,54.94585181,2.891304348
128.15625,46.89690113,4.193979933
115.6171875,40.29037592,11.63963211
136.7421875,44.39123754,2.105351171
135.265625,48.14390609,8.539297659
113.9609375,52.24736871,4.407190635
107.796875,45.6803362,1.7090301
124.5,57.35361802,4.783444816
119.296875,46.45417086,3.748327759
148.3828125,51.200757,1.408026756
109.4921875,53.2901838,4.132943144
112.125,46.30840906,1.173076923
128.7734375,45.80669555,2.66722408
140.265625,48.93721813,2.315217391
87.515625,51.76343189,5.67809365
132.140625,42.09582342,1.863712375
104.078125,45.24078107,1.43645485
122.6015625,53.79697654,2.636287625
114.28125,41.25396525,2.412207358
112.4375,38.2956733,2.81270903
23.625,29.94865398,4.5685619
94.5859375,35.77982308,6.071070234
137.2421875,46.45474042,9.4958194
123.53125,53.34878418,0.781772575
70.0234375,35.28067478,3.003344482
129.375,44.56841651,3.60451505
97.140625,47.77089438,4.193143813
101.96875,46.31632702,1.748327759
